_id,is_managed
2bc75860-484d-4d42-ae6f-51c24ef8d8c1,1
610f1232-d893-4d57-963c-231f770ac263,1
16df9f06-c73b-4056-a8af-520c706b8da5,1
fe357075-7bfe-46cc-b2d6-23cb6529bd6e,1
f6e140ed-ace2-42f4-9f51-ec83ddb59478,1
f98618db-6078-416b-ae07-43ee6300b1b4,1
e4581643-3939-4f02-9290-aa6d93929e9d,1
79025a4e-4fab-44e8-a2a6-9ebe7c1a2c3f,1
aa8dbb0f-065e-4f07-acc6-905fdda7e379,1
95af105c-6a37-4a6f-a7a9-cf735398404c,1
a4e08dc0-defd-4891-a12a-6dd36c6da559,1
cfdac536-117f-4240-85c4-1547aeffb871,1
47290eb8-deb1-49ce-8c76-9645c23d7dfa,1
969bee72-a919-4edf-92e8-85836150500e,1
9cb9ec50-945b-4732-ba1d-37b8c0ac5e55,1
077c7c4d-2c0f-46d3-b2b9-8f7ee2cd3cb9,1
445042a7-6f0e-42d2-96c8-7f38bcafcb8d,1
d1abfac8-164e-4f41-9753-d2b388e981bb,1
739f07d0-fbd4-40df-bb38-da0e296a2cc9,1
303ff7ab-27ef-445c-9ae6-d71a8d3154ed,1
1d5f3a99-b10d-494f-adfc-d8a598ce66f8,1
eefa1c3a-3b43-4daf-a204-1af6eb6208a6,1
faca6317-bd3e-4f1d-bf5e-43634ad66f57,1
da69ec57-1dc8-4a33-aa28-b8dc8e48a65d,1
e2ad8d6d-00e8-4e33-8178-7eb0e6c20f6f,1
4b5873b9-7a93-4f6c-9023-8882655e6134,1
42e12d36-17f6-44b1-bd6b-c55729e1f598,1
36407224-65f4-4dd6-9566-3cf7a28eccb1,1
285e9d45-416d-4704-9f3c-bfdf68811eca,1
e55e0ac4-3ad4-42ab-b289-972185502600,1
6690293c-a82c-4bc4-8d60-a08daf126c9e,1
f22200a1-cc4f-4530-a957-063f59355544,1
09340e8c-6153-4ebd-88b6-376f534278bd,1
d0d9353d-079e-4bbc-8fee-f834dbe65bb3,1
2670f803-f26a-4b34-9b8e-567ea0d8c1c0,1
29f34787-6d42-4a34-b268-6075b8c18482,1
29fe707e-a87f-4598-bf15-3922fd7707b1,1
0184a877-9c71-47d4-b19a-a42ba89eea17,1
1d1fe2fa-49f3-494d-9a6b-2d97af529c1a,1
5e6e2b05-4924-46da-9694-439d4223638f,1
a08038c5-4127-493e-9f86-82eebaa6c8a0,1
d84bf10e-3451-4227-bcf0-fe7a4d468e1f,1
24b6ba04-fb5d-48a4-b72e-63f0afcfb52b,1
4a611098-d4fc-4ff8-8e85-2b95c4a64981,1
691b08d7-7303-4aff-ba54-b38ac774e6e9,1
7f780125-5dff-4d9a-93ff-f58b6ef903f6,1
b9c2ed2e-07d0-4a57-ab94-980dfed58e82,1
94f56f7a-33bc-4149-a0e4-0400745c9f31,1
6ed8ed04-4022-470b-a7a3-89d7abe67ace,1
80301007-390a-4e37-b154-cc0cf0f0cb2f,1
1d6c66b4-b7df-4668-8b51-8591277eea22,1
651c4d59-6a1d-4139-8472-9bf48b706ffd,1
498ef038-1202-4e26-bd2d-32a0635ba946,1
0aa6580d-2a6a-449e-92c5-2124b6bd74a3,1
2011705e-2185-4fb6-bb81-2923b1c5ceb6,1
e1b9e35b-bcdd-456c-9b7b-adf9befee643,1
54bddd17-a88b-4ffc-b233-599184d9d7d1,1
c0d091bd-f605-4659-ae99-73fb32f0ec04,1
862d4544-96c3-4186-ac50-dea1737ac690,1
cqu-gke,1
8b67651e-07e8-4559-9fa1-34d3b47b3e9f,1
8d0a53d9-f4b4-4acd-a306-6f4374618cfa,1
6b1828bf-a731-4ad7-a284-7190558795dd,1
24c6cfaa-ea05-4593-90e3-bc1226acbd0a,1
5cd70c2d-c1bd-4f0a-bc26-45cd01e8e7f9,1
a2e06f3d-f6d1-441b-b712-baf4e70753fd,1
077ac6c1-d579-4378-b151-e057f8f049b3,1
c0a98436-9921-4bdf-944c-6664546d876a,1
4b9fd59c-80d2-4809-824c-2938da0214ab,1
16f4baf7-81cb-4070-b6d6-0838c905158f,1
95dc0d0d-17e3-4a8a-a1b8-8d5b64dc836b,1
9ad95b55-f4d1-47ea-addf-23d6aab2271b,1
b0d1a91b-b00b-48fa-b91c-bae8a132181b,1
f330c650-efaf-444f-bfe1-fd301c2ea818,1
b7f61e53-770f-47e3-9ca2-1c360e0099bd,1
73803c61-3bc8-4a55-bf85-cf44dffe8b39,1
0d767bd2-e47d-4765-8e6a-281ab8da126e,1
e8bb27a7-c07c-4328-b2d9-9866837bbf47,1
535db42d-d135-4567-acde-f72fbcb58cfb,1
853eb606-451e-4cfb-96bf-b3ca359ffc6a,1
f374f1ff-dd5a-459c-b49a-d27f77a9f1fd,1
f4721ab8-64ea-4014-b4b4-28ddc65785ea,1
d4a46772-8257-43a8-a008-a8baa390abb0,1
af104f19-7e10-480c-8bb5-58a6fb2c07f5,1
127ffab7-79a2-4719-a15c-0dd609856b19,1
e7694723-9401-40c6-942b-4f57a1ebe763,1
e76b9e5e-9480-4a2f-8484-52c463599417,1
f0d68ccd-f188-41f5-9655-819f9311d9cb,1
d12de83d-06c9-412d-ba8c-fb719a7dac0e,1
229617ab-1ff7-4e2d-b6dc-50048afc8f79,1
cdafea5e-85cb-4ed1-9467-7e6c3ab105db,1
aks-aapdlclgpjk4nmp2,1
74480648-f92f-46ab-a84a-8f7781b2512e,1
02bd9abf-a3ef-422e-ae94-7954fc86b9e3,1
d22d214d-aeac-4f47-bf38-6af45cd22da0,1
5ea9bbfd-eddc-453f-9255-c44bb6880d95,1
675057dd-d57e-44af-b4c2-c47ea05d31b3,1
6e67108b-853f-4a1b-81c9-8503a197d36a,1
3a54b56a-3080-4b6d-a93f-1b900df82e9e,1
39290f1b-c866-47d0-80b3-818c10408ab5,1
03981019-bd58-4fe1-850c-0d85caefe835,1
3012c6c9-44f2-4eca-aa88-79aea766bc40,1
6deec471-d08e-4206-949f-60de4b73aeae,1
d90d892e-35c0-4790-8561-f210be9d96d3,1
836fa419-fc4f-443d-8f5a-7b85319be870,1
94af78e4-04b7-4ec6-974b-49ea95db3e21,1
912eee80-453e-486d-a48e-916fa730a4c0,1
d3807dc6-3c60-4beb-897b-17b37cfe54ef,1
6428c086-86dc-4b26-ae17-9a422da3682b,1
100b4b32-0884-4fc4-9141-6dcb8bb02c8f,1
6c789142-7f57-4989-b58c-71b5ce45a209,1
40721f2e-1f3c-490d-b70c-56a2da106617,1
4e88cfc2-233b-4159-8792-ad5aad9fcf1d,1
a249e468-1472-46a9-9bcf-e8cd4524acfa,1
