,cluster,prometheus,prometheus_replica,_sample_start,_sample_end,_min_time,_max_time,_count,_sum,_min,_max
23,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 11:45:00,2022-05-30 12:00:00,2022-05-30 11:45:20,2022-05-30 11:59:50,30,203.14470940766375,6.5216605767741385,7.106761904765988
24,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 12:00:00,2022-05-30 12:15:00,2022-05-30 12:00:20,2022-05-30 12:14:50,30,207.3054104263117,6.475348551979074,7.626476190480892
25,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 12:15:00,2022-05-30 12:30:00,2022-05-30 12:15:20,2022-05-30 12:29:50,30,200.34532847559265,6.339619047611597,7.034952380949458
26,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 12:30:00,2022-05-30 12:45:00,2022-05-30 12:30:20,2022-05-30 12:44:50,30,204.61023091940797,6.3488571428538645,7.122952380933846
27,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 12:45:00,2022-05-30 13:00:00,2022-05-30 12:45:20,2022-05-30 12:59:50,30,214.14506344557722,5.568761904757207,9.025619047614082
28,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 13:00:00,2022-05-30 13:15:00,2022-05-30 13:00:20,2022-05-30 13:14:50,30,243.2371912845707,5.772761904756495,14.981249357974876
29,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 13:15:00,2022-05-30 13:30:00,2022-05-30 13:15:20,2022-05-30 13:29:50,30,219.82025631712742,6.971428571421923,7.57730426595852
30,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 13:30:00,2022-05-30 13:45:00,2022-05-30 13:30:20,2022-05-30 13:44:50,30,230.58486703569807,7.0529523809551335,10.147213654811956
31,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 13:45:00,2022-05-30 14:00:00,2022-05-30 13:45:20,2022-05-30 13:59:50,30,231.00358546448223,5.49237610930372,14.198666666667641
32,8cab53f2-867b-41a7-960e-43f5fcb5abcc,openshift-monitoring/k8s,prometheus-k8s-1,2022-05-30 14:00:00,2022-05-30 14:15:00,2022-05-30 14:00:20,2022-05-30 14:14:50,30,247.15742889758835,6.301636337251887,11.16374689742534
