_id,vendor,is_managed
09b2a0d2-0a08-49b0-9754-76f08b527cdc,OpenShift,0
0aadd727-53e2-48a4-b141-6c1f36ed7125,OpenShift,0
1ebb492f-971d-4241-b5bb-09c999145293,OpenShift,0
3f34fb27-98d8-4264-b4e1-f5303ace1554,OpenShift,0
41336a57-f033-4a77-b255-8efac77eafb0,OpenShift,0
464c9106-94f3-4e63-9d10-27f91ec0a685,OpenShift,0
48cb276f-76c6-4f31-a77f-a30cf4c4e052,OpenShift,0
53a3a740-0017-432f-b3ee-c9ca591a9b1f,OpenShift,0
606fb19f-df1e-4a5d-8dfd-b22796ce4546,OpenShift,0
68e6d55e-2bc0-48ea-8e92-086814908a09,OpenShift,0
6c727fd3-fef7-4110-8a6e-afff4a388c13,OpenShift,0
7531bf9e-bca5-46ad-8f29-a6e515386b8b,OpenShift,0
79cd4211-b91e-421e-89f0-d9efce3ab71e,OpenShift,0
7ffcef04-d17c-4da0-b609-211b8f0f3fc9,OpenShift,0
8cc888b6-0605-4838-91d2-4f14a4c5c74e,OpenShift,0
91981e65-82b4-4c14-a63a-057ea761ee74,OpenShift,0
a7ffb335-48a7-41c4-b7a2-0928546fcd5c,OpenShift,0
a9019aaf-38d9-43eb-b360-1fc898733d36,OpenShift,0
bbe3f65e-085e-4958-a162-c1471df4ae57,OpenShift,0
becc6c97-a071-4c8d-8020-96658eac9bf9,OpenShift,0
ceffff8d-f864-4e16-a23f-45425bef22ec,OpenShift,0
cf0815dc-f709-406f-a123-1010b3a56242,OpenShift,0
d9dade8a-4b72-4cee-ba5e-f99afb2543f5,OpenShift,0
da1482fe-562d-46a8-965d-ebd7699f8c5b,OpenShift,0
dc77591f-86f1-415a-a7a9-dc922f86c9e2,OpenShift,0
fd0ea5c9-2e01-472f-a569-07c72cd4cac1,OpenShift,0
00c5cee1-5fdc-4b92-ba24-a66fbb0e06dd,OpenShift,0
00fff86f-c1e8-4800-b646-1c8791dec0a9,OpenShift,0
022971df-546d-4753-b01c-419832b22a27,OpenShift,0
0333fddf-53e2-40c0-89eb-fcacdddc874e,OpenShift,0
0617bd2b-f030-4a45-8b75-6f9a5cb25a25,OpenShift,0
083b9f30-579d-4352-b6f7-e067db010209,OpenShift,0
08ed20ab-7fae-464d-90ea-b69483d454c2,OpenShift,0
09f0bf46-3e1f-498b-b569-0b8508c7a9d7,OpenShift,0
0a430228-2cbe-48bd-9f43-acf6d58d0acc,OpenShift,0
0b79d99a-909d-47f8-8087-ae3cefadc077,OpenShift,0
164661c7-b216-4aac-9951-bacabe18844e,OpenShift,0
16bbff40-619f-4f71-9997-7bbe34841862,OpenShift,0
1704742a-84d8-463e-892f-68703b395561,OpenShift,0
1b63e06e-1d1f-4476-af91-66e0b0b6877e,OpenShift,0
20d5082b-2dca-485a-b195-c887eaa53e7c,OpenShift,0
222a82ef-3889-4342-82ca-b3a4d27d3e79,OpenShift,0
239030e3-6ae7-447a-865e-e4aa40e27a08,OpenShift,0
246e6e63-e8e4-4b09-8de5-4080445216a7,OpenShift,0
24b71e48-f51f-4b8e-b7e4-06bdc769b906,OpenShift,0
2503dc11-7bbf-4586-b347-4df7a7b38f52,OpenShift,0
2597ed79-706b-4dde-a616-65b2aa33dee0,OpenShift,0
286ea8f1-5568-406f-a4cf-6b32e4cbc659,OpenShift,0
29b9afed-c5d5-47c5-82e2-97370ae08b32,OpenShift,0
32bb76db-7932-4009-8f52-41f61bff91de,GKE,0
32ce3623-1589-4cef-987c-6457ba86ae81,OpenShift,0
32e09d0a-d6ea-4222-9c58-7bc93af5fe77,OpenShift,0
381b4a49-434b-4a50-9783-3c862f9c7ce7,OpenShift,0
