timestamp,Cpu_usage,Memory_usage(bytes),Memory_capacity(bytes),Memory_usage,year,month,day,hour,minute,second,api_server_requests
2022-05-24 21:15:30,10.799904761900244,79641972736.0,99329359872.0,80.17968991104946,2022,5,24,21,15,30,23.0
2022-05-24 21:16:30,11.566190476190032,80153817088.0,99329359872.0,80.69499007271322,2022,5,24,21,16,30,29.0
2022-05-24 21:17:30,11.046285714285581,79890186240.0,99329359872.0,80.42957927338891,2022,5,24,21,17,30,29.0
2022-05-24 21:18:30,10.587999999999914,79665594368.0,99329359872.0,80.20347102876777,2022,5,24,21,18,30,41.0
2022-05-24 21:19:30,10.72295238095158,80036208640.0,99329359872.0,80.5765875700176,2022,5,24,21,19,30,41.0
2022-05-24 21:20:30,11.226666666664896,80510451712.0,99329359872.0,81.05403257984261,2022,5,24,21,20,30,21.0
2022-05-24 21:21:30,11.624952380956772,80304799744.0,99329359872.0,80.84699211540692,2022,5,24,21,21,30,25.0
2022-05-24 21:22:30,10.85857142857165,78975733760.0,99329359872.0,79.50895270217332,2022,5,24,21,22,30,26.0
2022-05-24 21:23:30,10.502000000000754,78049611776.0,99329359872.0,78.57657783819207,2022,5,24,21,23,30,28.0
2022-05-24 21:24:30,10.68314285714601,77993336832.0,99329359872.0,78.51992294373537,2022,5,24,21,24,30,28.0
2022-05-24 21:25:30,10.955238095238542,78081200128.0,99329359872.0,78.60837946466053,2022,5,24,21,25,30,25.0
2022-05-24 21:26:30,11.251142857141708,78025854976.0,99329359872.0,78.55266063986258,2022,5,24,21,26,30,24.0
2022-05-24 21:27:30,11.750380952384635,78121938944.0,99329359872.0,78.64939333614072,2022,5,24,21,27,30,24.0
2022-05-24 21:28:30,11.476285714281373,78278688768.0,99329359872.0,78.80720148491163,2022,5,24,21,28,30,23.0
2022-05-24 21:29:30,11.038686271545739,78770339840.0,99329359872.0,79.30217202799533,2022,5,24,21,29,30,23.0
2022-05-24 21:30:30,11.06976659818701,79358148608.0,99329359872.0,79.89394949314509,2022,5,24,21,30,30,21.0
2022-05-24 21:31:30,11.278476190478324,79260008448.0,99329359872.0,79.79514672211498,2022,5,24,21,31,30,22.0
2022-05-24 21:32:30,10.913142857146232,79386660864.0,99329359872.0,79.92265425479536,2022,5,24,21,32,30,23.0
2022-05-24 21:33:30,11.038482881746665,78791008256.0,99329359872.0,79.32297999054198,2022,5,24,21,33,30,25.0
2022-05-24 21:34:30,10.79438095238681,78859161600.0,99329359872.0,79.39159348416344,2022,5,24,21,34,30,25.0
2022-05-24 21:35:30,10.496952380947326,78401093632.0,99329359872.0,78.93043278747689,2022,5,24,21,35,30,23.0
2022-05-24 21:36:30,10.808770141222388,78474637312.0,99329359872.0,79.0044730109262,2022,5,24,21,36,30,24.0
2022-05-24 21:37:30,10.89504761905077,78608478208.0,99329359872.0,79.13921755792869,2022,5,24,21,37,30,34.0
2022-05-24 21:38:30,10.944285714288153,78579343360.0,99329359872.0,79.10988600073598,2022,5,24,21,38,30,34.0
2022-05-24 21:39:30,10.725428571427866,79079342080.0,99329359872.0,79.61326055247409,2022,5,24,21,39,30,39.0
2022-05-24 21:40:30,11.456857142859096,80539381760.0,99329359872.0,81.0831579542911,2022,5,24,21,40,30,39.0
2022-05-24 21:41:30,11.679559323469165,80202522624.0,99329359872.0,80.74402445294358,2022,5,24,21,41,30,27.0
2022-05-24 21:42:30,10.92342857142711,79829401600.0,99329359872.0,80.3683842349045,2022,5,24,21,42,30,27.0
2022-05-24 21:43:30,10.899904761904677,79525957632.0,99329359872.0,80.06289151010387,2022,5,24,21,43,30,25.0
2022-05-24 21:44:30,10.966000000000491,79423840256.0,99329359872.0,79.960084670181,2022,5,24,21,44,30,23.0
2022-05-24 21:45:30,11.19019047619354,79924445184.0,99329359872.0,80.464069522842,2022,5,24,21,45,30,23.0
2022-05-24 21:46:30,11.389809523802251,80507445248.0,99329359872.0,81.05100581715747,2022,5,24,21,46,30,39.0
2022-05-24 21:47:30,11.057333333341274,80740110336.0,99329359872.0,81.28524178555575,2022,5,24,21,47,30,39.0
2022-05-24 21:48:30,10.838571428572983,80015081472.0,99329359872.0,80.55531775812389,2022,5,24,21,48,30,23.0
2022-05-24 21:49:30,11.385327691825385,80201318400.0,99329359872.0,80.74281209840755,2022,5,24,21,49,30,39.0
2022-05-24 21:50:30,11.352777073695622,80626839552.0,99329359872.0,81.1712062333827,2022,5,24,21,50,30,39.0
2022-05-24 21:51:30,11.344285714290375,79791562752.0,99329359872.0,80.33028991108246,2022,5,24,21,51,30,38.0
2022-05-24 21:52:30,10.918195374612589,79642230784.0,99329359872.0,80.17994970130718,2022,5,24,21,52,30,38.0
2022-05-24 21:53:30,11.014291345979508,78787260416.0,99329359872.0,79.31920684632276,2022,5,24,21,53,30,20.0
2022-05-24 21:54:30,11.190476190477304,78096453632.0,99329359872.0,78.62373595545002,2022,5,24,21,54,30,24.0
2022-05-24 21:55:30,11.430401892280047,78068142080.0,99329359872.0,78.59523325288907,2022,5,24,21,55,30,24.0
2022-05-24 21:56:30,10.959619047614703,77978218496.0,99329359872.0,78.50470253355707,2022,5,24,21,56,30,24.0
2022-05-24 21:57:30,11.010761904764168,77643927552.0,99329359872.0,78.16815456382206,2022,5,24,21,57,30,26.0
2022-05-24 21:58:30,10.854476190470383,77821157376.0,99329359872.0,78.34658098701495,2022,5,24,21,58,30,26.0
2022-05-24 21:59:30,10.866857142852885,78497189888.0,99329359872.0,79.02717785471968,2022,5,24,21,59,30,24.0
2022-05-24 22:00:30,11.412285714287178,79546359808.0,99329359872.0,80.08343143508303,2022,5,24,22,0,30,24.0
2022-05-24 22:01:30,11.482571428566287,79036055552.0,99329359872.0,79.5696817676558,2022,5,24,22,1,30,23.0
2022-05-24 22:02:30,10.90095364368102,78978809856.0,99329359872.0,79.5120495669915,2022,5,24,22,2,30,30.0
2022-05-24 22:03:30,10.988095238095239,78763855872.0,99329359872.0,79.29564428231333,2022,5,24,22,3,30,30.0
2022-05-24 22:04:30,11.019047619047619,78914387968.0,99329359872.0,79.44719272296973,2022,5,24,22,4,30,34.0
2022-05-24 22:05:30,11.054427730630037,78898900992.0,99329359872.0,79.43160118385184,2022,5,24,22,5,30,34.0
2022-05-24 22:06:30,11.174476190474595,79126245376.0,99329359872.0,79.6604805245553,2022,5,24,22,6,30,27.0
2022-05-24 22:07:30,11.002293638319514,79178842112.0,99329359872.0,79.71343237692581,2022,5,24,22,7,30,38.0
2022-05-24 22:08:30,10.710857142858387,79063957504.0,99329359872.0,79.59777210472829,2022,5,24,22,8,30,38.0
2022-05-24 22:09:30,10.742285714285186,79425323008.0,99329359872.0,79.96157743324916,2022,5,24,22,9,30,36.0
