timestamp,Cpu_usage,Memory_usage(bytes),api_server_requests,api_server_requests_lt
2022-05-29 13:10:09,10.723523809521323,80120131584.0,17,2.833213344056216
2022-05-29 13:25:09,11.259441938435977,80163905536.0,29,3.367295829986474
2022-05-29 13:40:09,10.943333333344867,79896694784.0,26,3.258096538021482
2022-05-29 13:55:09,10.896857142856433,81296859136.0,16,2.772588722239781
2022-05-29 14:10:09,10.93038095238707,80031342592.0,22,3.091042453358316
2022-05-29 14:25:09,11.090857142857503,81702129664.0,20,2.995732273553991
2022-05-29 14:40:09,10.806190476194026,79462137856.0,30,3.4011973816621555
2022-05-29 14:55:09,10.931809523803674,81136226304.0,37,3.6109179126442243
2022-05-29 15:10:09,11.311809523798349,79631675392.0,19,2.9444389791664403
2022-05-29 15:25:09,10.855523809515649,80597950464.0,42,3.7376696182833684
2022-05-29 15:40:09,11.731904761907868,80035811328.0,35,3.5553480614894135
2022-05-29 15:55:09,11.46628571429423,80662884352.0,19,2.9444389791664403
2022-05-29 16:10:09,11.436857142862644,80453132288.0,24,3.1780538303479458
2022-05-29 16:25:09,10.909904761913985,80943247360.0,18,2.8903717578961645
2022-05-29 16:40:09,10.974000000004617,79639998464.0,28,3.332204510175204
2022-05-29 16:55:09,10.981523809519908,80527753216.0,25,3.2188758248682006
2022-05-29 17:10:09,10.909927827017743,79421820928.0,24,3.1780538303479458
2022-05-29 17:25:09,10.917809523797288,80565493760.0,21,3.044522437723423
2022-05-29 17:40:09,10.791619047611244,79343288320.0,22,3.091042453358316
2022-05-29 17:55:09,10.945532026506395,80594837504.0,36,3.58351893845611
2022-05-29 18:10:09,10.972862671881247,79674216448.0,31,3.4339872044851463
2022-05-29 18:25:09,10.888190476188349,80598884352.0,25,3.2188758248682006
2022-05-29 18:40:09,11.113523809512017,79301578752.0,24,3.1780538303479458
2022-05-29 18:55:09,10.084857142856341,79274659840.0,41,3.713572066704308
2022-05-29 19:10:09,10.136001873136935,77664882688.0,21,3.044522437723423
2022-05-29 19:25:09,10.002571428573827,78769823744.0,29,3.367295829986474
2022-05-29 19:40:09,8.988190476195001,77063159808.0,25,3.2188758248682006
2022-05-29 19:55:09,9.18114285714747,76002836480.0,34,3.5263605246161616
2022-05-29 20:10:09,6.926952380959744,74619260928.0,31,3.4339872044851463
2022-05-29 20:25:09,6.277047619043984,75059765248.0,20,2.995732273553991
2022-05-29 20:40:09,6.708380952384325,73560723456.0,32,3.4657359027997265
2022-05-29 20:55:09,5.364190476190389,70630858752.0,21,3.044522437723423
2022-05-29 21:10:09,5.592095238096747,71163281408.0,34,3.5263605246161616
2022-05-29 21:25:09,5.650190476201744,71711838208.0,30,3.4011973816621555
